# -*- coding: utf-8 -*-
"""
Created on Mon Mar 23 13:17:31 2026

@author: wiewe372
"""

726569 function calls (726529 primitive calls) in 8.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      4/1    0.000    0.000    8.068    8.068 {built-in method builtins.exec}
        1    7.737    7.737    8.068    8.068 matmult.py:2(<module>)
   125250    0.049    0.000    0.258    0.000 random.py:334(randint)
   125250    0.095    0.000    0.210    0.000 random.py:290(randrange)
      250    0.025    0.000    0.155    0.001 matmult.py:14(<listcomp>)
      250    0.024    0.000    0.152    0.001 matmult.py:9(<listcomp>)
   125250    0.083    0.000    0.115    0.000 random.py:237(_randbelow_with_getrandbits)
   158874    0.019    0.000    0.019    0.000 {method 'getrandbits' of '_random.Random' objects}
   125250    0.014    0.000    0.014    0.000 {method 'bit_length' of 'int' objects}
      250    0.011    0.000    0.011    0.000 {built-in method builtins.print}
      9/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:1002(_find_and_load)
      9/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      8/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:659(_load_unlocked)
      3/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap_external>:844(exec_module)
    63013    0.006    0.000    0.006    0.000 {built-in method builtins.len}
     13/1    0.000    0.000    0.006    0.006 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.006    0.006 random.py:1(<module>)
        1    0.000    0.000    0.004    0.004 hashlib.py:5(<module>)
        8    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1172(create_module)
        5    0.003    0.001    0.003    0.001 {built-in method _imp.create_dynamic}
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1416(find_spec)
        9    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1384(_get_spec)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1515(find_spec)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       14    0.000    0.000    0.001    0.000 hashlib.py:130(__get_openssl_constructor)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        2    0.000    0.000    0.000    0.000 hashlib.py:84(__get_builtin_constructor)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.000    0.000 bisect.py:1(<module>)
       47    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      163    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
